Trial,Reward,Algorithm
139,-0.009315995710059033,Thompson Sampling
140,-0.9415855804101794,Thompson Sampling
141,1.4005047495866005,Thompson Sampling
142,0.17055792079887766,Thompson Sampling
143,-0.4437975070824871,Thompson Sampling
144,-1.2796396685718594,Thompson Sampling
145,1.5193325462837672,Thompson Sampling
146,-0.3431198446789394,Thompson Sampling
147,-0.901641437817253,Thompson Sampling
148,1.4754012958519063,Thompson Sampling
149,1.7115557490263922,Thompson Sampling
150,1.1640811110824643,Thompson Sampling
151,-0.7015788738102147,Thompson Sampling
152,0.2442084069146372,Thompson Sampling
153,0.8457948252521885,Thompson Sampling
154,1.7194922356355749,Thompson Sampling
155,0.4957162107369356,Thompson Sampling
156,2.7694163677157766,Thompson Sampling
157,-0.6586681616259493,Thompson Sampling
158,2.124864808355431,Thompson Sampling
